39815 2020-05-18 20:19:03 [4D.APPL] INFO - DELAY PROCESS()
39816 2020-05-18 20:19:03 [4D.APPL] INFO - DELAY PROCESS()
39817 2020-05-18 20:19:03 [4D.APPL] INFO - DELAY PROCESS()
39818 2020-05-18 20:19:03 [4D.APPL] INFO - DELAY PROCESS()
39819 2020-05-18 20:19:03 [4D.APPL] INFO - DELAY PROCESS()
39820 2020-05-18 20:19:03 [4D.APPL] INFO - DELAY PROCESS()
39821 2020-05-18 20:19:03 [4D.APPL] INFO - DELAY PROCESS()
39822 2020-05-18 20:19:03 [4D.APPL] INFO - DELAY PROCESS()
39823 2020-05-18 20:19:04 [4D.APPL] INFO - DELAY PROCESS()
39824 2020-05-18 20:19:04 [4D.APPL] INFO - DELAY PROCESS()
39825 2020-05-18 20:19:04 [4D.APPL] INFO - DELAY PROCESS()
39826 2020-05-18 20:19:04 [4D.APPL] INFO - DELAY PROCESS()
39827 2020-05-18 20:19:04 [4D.APPL] INFO - DELAY PROCESS()
39828 2020-05-18 20:19:04 [4D.APPL] INFO - DELAY PROCESS()
39829 2020-05-18 20:19:04 [4D.APPL] INFO - DELAY PROCESS()
39830 2020-05-18 20:19:04 [4D.APPL] INFO - DELAY PROCESS()
39831 2020-05-18 20:19:04 [4D.APPL] INFO - DELAY PROCESS()
39832 2020-05-18 20:19:05 [4D.APPL] INFO - DELAY PROCESS()
39833 2020-05-18 20:19:05 [4D.APPL] INFO - DELAY PROCESS()
39834 2020-05-18 20:19:05 [4D.APPL] INFO - DELAY PROCESS()
39835 2020-05-18 20:19:05 [4D.APPL] INFO - DELAY PROCESS()
39836 2020-05-18 20:19:05 [4D.APPL] INFO - DELAY PROCESS()
39837 2020-05-18 20:19:05 [4D.APPL] INFO - DELAY PROCESS()
39838 2020-05-18 20:19:05 [4D.APPL] INFO - DELAY PROCESS()
39839 2020-05-18 20:19:05 [4D.APPL] INFO - DELAY PROCESS()
39840 2020-05-18 20:19:05 [4D.APPL] INFO - DELAY PROCESS()
39841 2020-05-18 20:19:05 [4D.APPL] INFO - DELAY PROCESS()
39842 2020-05-18 20:19:06 [4D.APPL] INFO - DELAY PROCESS()
39843 2020-05-18 20:19:06 [4D.APPL] INFO - DELAY PROCESS()
39844 2020-05-18 20:19:06 [4D.APPL] INFO - DELAY PROCESS()
39845 2020-05-18 20:19:06 [4D.APPL] INFO - DELAY PROCESS()
39846 2020-05-18 20:19:06 [4D.APPL] INFO - DELAY PROCESS()
39847 2020-05-18 20:19:06 [4D.APPL] INFO - DELAY PROCESS()
39848 2020-05-18 20:19:06 [4D.APPL] INFO - DELAY PROCESS()
39849 2020-05-18 20:19:06 [4D.APPL] INFO - DELAY PROCESS()
39850 2020-05-18 20:19:06 [4D.APPL] INFO - DELAY PROCESS()
39851 2020-05-18 20:19:06 [4D.APPL] INFO - DELAY PROCESS()
39852 2020-05-18 20:19:07 [4D.APPL] INFO - DELAY PROCESS()
39853 2020-05-18 20:19:07 [4D.APPL] INFO - DELAY PROCESS()
39854 2020-05-18 20:19:07 [4D.APPL] INFO - DELAY PROCESS()
39855 2020-05-18 20:19:07 [4D.APPL] INFO - DELAY PROCESS()
39856 2020-05-18 20:19:07 [4D.APPL] INFO - DELAY PROCESS()
39857 2020-05-18 20:19:07 [4D.APPL] INFO - DELAY PROCESS()
39858 2020-05-18 20:19:07 [4D.APPL] INFO - DELAY PROCESS()
39859 2020-05-18 20:19:07 [4D.APPL] INFO - DELAY PROCESS()
39860 2020-05-18 20:19:07 [4D.APPL] INFO - DELAY PROCESS()
39861 2020-05-18 20:19:08 [4D.APPL] INFO - DELAY PROCESS()
39862 2020-05-18 20:19:08 [4D.APPL] INFO - DELAY PROCESS()
39863 2020-05-18 20:19:08 [4D.APPL] INFO - DELAY PROCESS()
39864 2020-05-18 20:19:08 [4D.APPL] INFO - DELAY PROCESS()
39865 2020-05-18 20:19:08 [4D.APPL] INFO - DELAY PROCESS()
39866 2020-05-18 20:19:08 [4D.APPL] INFO - DELAY PROCESS()
39867 2020-05-18 20:19:08 [4D.APPL] INFO - DELAY PROCESS()
39868 2020-05-18 20:19:08 [4D.APPL] INFO - DELAY PROCESS()
39869 2020-05-18 20:19:08 [4D.APPL] INFO - DELAY PROCESS()
39870 2020-05-18 20:19:08 [4D.APPL] INFO - DELAY PROCESS()
39871 2020-05-18 20:19:09 [4D.APPL] INFO - DELAY PROCESS()
39872 2020-05-18 20:19:09 [4D.APPL] INFO - DELAY PROCESS()
39873 2020-05-18 20:19:09 [4D.APPL] INFO - DELAY PROCESS()
39874 2020-05-18 20:19:09 [4D.APPL] INFO - DELAY PROCESS()
39875 2020-05-18 20:19:09 [4D.APPL] INFO - DELAY PROCESS()
39876 2020-05-18 20:19:09 [4D.APPL] INFO - DELAY PROCESS()
39877 2020-05-18 20:19:09 [4D.APPL] INFO - DELAY PROCESS()
39878 2020-05-18 20:19:09 [4D.APPL] INFO - DELAY PROCESS()
39879 2020-05-18 20:19:09 [4D.APPL] INFO - DELAY PROCESS()
